id,job_hash,fetch_date,portal,search_keyword,job_title,company_name,location,remote_type,salary_range,experience_years,tech_stack,posted_date,job_description,description_length,apply_link,easy_apply_link,company_career_url,company_website,hr_email,job_id,visa_sponsorship,validation_score,validation_status,ai_summary,detail_fetched
8c737764-741d-4b39-af5e-84525bdddf0a,2e954d0505bc13ac829a5bbed8b46f02,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer - Data Engineering,Plaid,Greater Seattle Area,Not specified,,5-7 years,"AWS, Apache Spark, Python, SQL, Kafka, Hadoop",2026-08-25,,0,https://www.linkedin.com/jobs/view/senior-data-engineer-data-engineering-at-plaid-4411666197,,,,,,False,85,Valid,Plaid is seeking a Senior Data Engineer to join their Data Engineering team in the Greater Seattle Area. The ideal candidate will have experience designing and implementing scalable data systems.,False
49a03646-72c7-4640-b75e-5f9648399f6e,240475a28c3c3fb310b12209afaa230c,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Atlassian,"San Francisco, CA",Not specified,,5-7 years,"AWS, Apache Spark, Python, Java, Apache Kafka, Docker",2026-08-24,,0,https://www.linkedin.com/jobs/view/senior-data-engineer-at-atlassian-4458521144,,,,,,False,85,Valid,Atlassian is seeking a Senior Data Engineer to design and implement scalable data systems. The ideal candidate will have experience with data engineering and a strong understanding of cloud-based technologies.,False
5e1edfad-da1c-4e67-bc56-906e2d0a8f42,1be27edda3981943b5fb021a3d07f72f,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Jobot,"Chicago, IL",Not specified,,5-7 years,"Apache Beam, Apache Spark, AWS Glue, Python, SQL, NoSQL",2026-08-24,,0,https://www.linkedin.com/jobs/view/senior-data-engineer-at-jobot-4456507586,,,,,,False,85,Valid,"Jobot is seeking a Senior Data Engineer to design, develop, and maintain large-scale data systems. The ideal candidate will have experience with data engineering tools and technologies.",False
d3e16292-33a7-4468-89a7-9446b06d6156,677703a2dc8537d01d16a8af86544d7d,2026-08-25,LinkedIn,Data Engineer,Data Engineer,Eli Lilly and Company,"Indianapolis, IN",Not specified,,5-7 years,"Python, Apache Spark, AWS, SQL, Hadoop, Docker",2026-08-24,,0,https://www.linkedin.com/jobs/view/data-engineer-at-eli-lilly-and-company-4458286777,,,,,,False,85,Valid,"Eli Lilly and Company is seeking a Data Engineer to design, develop, and maintain large-scale data systems. The ideal candidate will have experience with data engineering principles and practices.",False
d12f94a2-c38b-45c6-8525-3b358255b514,d2b689f9fc1e804e0ef3a188321fcd9d,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer (Azure & Databricks),SOCOTEC US,"New York, NY",Not specified,,5-7 years,"Azure,Databricks,Python,SQL,Apache Spark,Data Engineering",2026-08-25,,0,https://www.linkedin.com/jobs/view/senior-data-engineer-azure-databricks-at-socotec-us-4448635779,,,,,,False,85,Valid,"Senior Data Engineer position available at SOCOTEC US in New York, NY, requiring expertise in Azure and Databricks.",False
b1409d39-52ad-4db2-a13b-6c066ade116f,47f40970219dc710c5ac7538563c263a,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Tatari,"San Francisco, CA",Not specified,,5-7 years,"AWS, Apache Beam, Apache Spark, Python, SQL, Linux",2026-08-24,,0,https://www.linkedin.com/jobs/view/senior-data-engineer-at-tatari-4443800040,,,,,,False,85,Valid,"Tatari is seeking a Senior Data Engineer to design, build, and maintain large-scale data systems. The ideal candidate will have experience with data engineering, architecture, and cloud platforms.",False
051568f6-270a-47a2-bf5f-1e1578812577,83abd92b1a2cdb1b205141c7f2c3b37f,2026-08-25,LinkedIn,Data Engineer,Data Engineer,Delta Defense LLC,"West Bend, WI",Not specified,,3-5 years,"AWS, Python, Apache Spark, SQL, Linux, Hadoop",2026-08-24,,0,https://www.linkedin.com/jobs/view/data-engineer-at-delta-defense-llc-4458288363,,,,,,False,80,Valid,"Delta Defense LLC is seeking a Data Engineer to join their team in West Bend, WI. The ideal candidate will design, develop, and maintain large-scale data systems.",False
3d86cded-c813-40d2-be0c-ccca4acc4332,eb46d771363671ce9d6bdad686587e20,2026-08-25,LinkedIn,Data Engineer,Sr. Data Engineer,Fabletics,"El Segundo, CA",Not specified,,5-7 years,"Apache Beam, Apache Spark, AWS Glue, Python, SQL, Apache Airflow",2026-08-24,,0,https://www.linkedin.com/jobs/view/sr-data-engineer-at-fabletics-4458271826,,,,,,False,80,Valid,"Fabletics is seeking a Sr. Data Engineer to design, develop, and maintain large-scale data systems. The ideal candidate will have experience with data engineering and a strong understanding of data architecture.",False
cf3ced69-0014-49f4-ab06-1d302544d6d7,7aeef405d9af1fd2cceffc810bf3e558,2026-08-25,LinkedIn,Data Engineer,"Data Engineer (dbt, Snowflake)",Mitchell Martin Inc.,"Charlotte, NC",Not specified,,3-5 years,"dbt, Snowflake, SQL, Python, Linux, AWS",2026-08-25,,0,https://www.linkedin.com/jobs/view/data-engineer-dbt-snowflake-at-mitchell-martin-inc-4456902885,,,,,,False,85,Valid,"Data Engineer position available at Mitchell Martin Inc. in Charlotte, NC, focusing on dbt and Snowflake.",False
dac1b753-0138-4873-a56b-f0495ec37cfa,b1d65b9f172c68bbc775a63932a98a7b,2026-08-25,LinkedIn,Data Engineer,Senior Data Engineer,Tatari,"Los Angeles, CA",Not specified,,5-7 years,"Apache Beam, Apache Spark, AWS, Python, SQL, Linux",2026-08-24,,0,https://www.linkedin.com/jobs/view/senior-data-engineer-at-tatari-4443494101,,,,,,False,85,Valid,"Senior Data Engineer position at Tatari in Los Angeles, CA, requiring expertise in data engineering and related technologies.",False
